fecha,tipo,total_ltmf_etf,equity_total,equity_domestic,equity_world,hybrid,bond_total,bond_taxable,bond_municipal,commodity
2024-01-31,mensual,48545.0,4017.0,4658.0,-641.0,-7480.0,55176.0,49275.0,5901.0,-3168.0
2024-02-29,mensual,42249.0,5858.0,-532.0,6390.0,-8295.0,46839.0,44257.0,2581.0,-2153.0
2024-03-31,mensual,87185.0,47831.0,46771.0,1060.0,-7220.0,44945.0,41201.0,3744.0,1629.0
2024-04-30,mensual,-37106.0,-49434.0,-40415.0,-9018.0,-13038.0,24292.0,24333.0,-41.0,1074.0
2024-05-31,mensual,53771.0,26496.0,26157.0,339.0,-7876.0,35549.0,33395.0,2154.0,-399.0
2024-06-30,mensual,20282.0,9639.0,-557.0,10195.0,-9097.0,19611.0,19280.0,331.0,130.0
2024-07-31,mensual,87776.0,41551.0,52451.0,-10899.0,-9971.0,53227.0,47371.0,5856.0,2969.0
2024-08-31,mensual,10904.0,-18459.0,-7086.0,-11373.0,-8823.0,36621.0,30667.0,5954.0,1565.0
2024-09-30,mensual,50484.0,13809.0,9600.0,4209.0,-8731.0,44496.0,37865.0,6631.0,910.0
2024-10-31,mensual,62278.0,-23.0,-3890.0,3867.0,-8233.0,66804.0,57943.0,8861.0,3731.0
2024-11-30,mensual,102916.0,72057.0,70926.0,1131.0,-11889.0,42850.0,36515.0,6335.0,-101.0
2024-12-31,mensual,47402.0,38002.0,44887.0,-6884.0,-9750.0,20233.0,21901.0,-1668.0,-1083.0
2025-01-31,mensual,33174.0,-3987.0,6326.0,-10313.0,-7999.0,45710.0,39879.0,5831.0,-550.0
2025-02-28,mensual,65472.0,6684.0,10649.0,-3965.0,-5979.0,57853.0,51653.0,6200.0,6913.0
2025-03-31,mensual,3591.0,-6555.0,-2374.0,-4180.0,-12095.0,15860.0,16333.0,-473.0,6381.0
2025-04-30,mensual,-62018.0,741.0,11740.0,-10999.0,-13809.0,-53050.0,-47020.0,-6031.0,4100.0
2025-05-31,mensual,35924.0,-14553.0,-18003.0,3451.0,-6328.0,58765.0,51552.0,7212.0,-1960.0
2025-06-30,mensual,41759.0,-8262.0,-21397.0,13134.0,-6039.0,49147.0,43242.0,5904.0,6914.0
2025-07-31,mensual,-222756.0,-285668.0,-299439.0,13770.0,-3297.0,63968.0,57855.0,6113.0,2240.0
2025-08-31,mensual,46915.0,-18847.0,-22434.0,3587.0,-5404.0,65552.0,59883.0,5669.0,5614.0
2025-09-30,mensual,70762.0,-4806.0,-18248.0,13441.0,-4664.0,68634.0,60609.0,8024.0,11599.0
2025-10-31,mensual,77746.0,3861.0,-12770.0,16631.0,-6971.0,74174.0,63782.0,10392.0,6681.0
2025-11-30,mensual,67051.0,20632.0,2185.0,18447.0,-8819.0,53009.0,47267.0,5742.0,2229.0
2025-12-31,mensual,86769.0,31772.0,19301.0,12471.0,-8373.0,53250.0,46761.0,6489.0,10119.0
2026-01-31,mensual,104198.0,7616.0,-36801.0,44417.0,-5253.0,96975.0,82162.0,14813.0,4859.0
2026-02-28,mensual,151226.0,41030.0,2806.0,38225.0,-2140.0,104839.0,93873.0,10967.0,7496.0
2026-03-31,mensual,37470.0,22069.0,8942.0,13127.0,-10658.0,36939.0,31584.0,5354.0,-10879.0
2026-04-30,mensual,101466.0,60959.0,37470.0,23490.0,-4632.0,45760.0,39839.0,5921.0,-622.0
2026-05-31,mensual,108745.0,3437.0,6177.0,-2740.0,-3191.0,107301.0,92850.0,14451.0,1198.0
2026-06-03,semanal,38651.0,6754.0,9635.0,-2882.0,1998.0,31554.0,28644.0,2909.0,-1655.0
2026-06-10,semanal,31533.0,16655.0,18289.0,-1634.0,-1058.0,18209.0,15779.0,2431.0,-2274.0
2026-06-17,semanal,66330.0,55969.0,48979.0,6990.0,-4797.0,16463.0,13437.0,3026.0,-1305.0
2026-06-24,semanal,-2045.0,-13161.0,-17175.0,4014.0,-609.0,12458.0,11179.0,1280.0,-733.0
2026-07-01,semanal,3451.0,-10209.0,-5820.0,-4389.0,-2370.0,18684.0,16149.0,2536.0,-2655.0
2026-07-08,semanal,66116.0,42850.0,42545.0,305.0,-852.0,24820.0,22381.0,2439.0,-703.0
